"","Date","CDC_daily_sim","xc_sim","xr_sim"
"1",2009-01-01,2.82014185712084,4.32943453055673,4.93099823777349
"2",2009-01-02,2.80818194210749,4.32336592938025,4.92178139578213
"3",2009-01-03,2.80456607424396,4.32365503816101,4.91680348085392
"4",2009-01-04,2.80448852645182,4.3151593991961,4.93411320343708
"5",2009-01-05,2.80700487079071,4.31724032825721,4.93803914717652
"6",2009-01-06,2.81415912715742,4.32425635775373,4.93161348358682
"7",2009-01-07,2.80042348358594,4.31332675737054,4.9249971887118
"8",2009-01-08,2.80395440462387,4.31479215299563,4.93282353971471
"9",2009-01-09,2.81018045198463,4.32262891118648,4.9264159914833
"10",2009-01-10,2.80676498802577,4.32015792049316,4.92470866934282
"11",2009-01-11,2.81198698754188,4.32311642926218,4.92923608512416
"12",2009-01-12,2.81457308256238,4.32508298895188,4.93013903746794
"13",2009-01-13,2.81178248559417,4.32156701364135,4.93448234501169
"14",2009-01-14,2.81280024577634,4.32322097925868,4.93111169860263
"15",2009-01-15,2.80924305296998,4.32410024731612,4.92224168331418
"16",2009-01-16,2.80244208791804,4.31676655145168,4.92270676315067
"17",2009-01-17,2.79371423560141,4.31215369813295,4.9154611942042
"18",2009-01-18,2.79604477329315,4.31306564607113,4.91761136313017
"19",2009-01-19,2.7967166659651,4.31109768882781,4.92122896016833
"20",2009-01-20,2.79665352111796,4.31017575914985,4.92264866211225
"21",2009-01-21,2.80101005513514,4.31312230610827,4.92712036941668
"22",2009-01-22,2.80400930411269,4.31588532960577,4.92812579938572
"23",2009-01-23,2.79600227789519,4.31125440632194,4.91974277164872
"24",2009-01-24,2.79861307055971,4.31446360520388,4.91970432675916
"25",2009-01-25,2.79720787670092,4.31469609562911,4.91741221380449
"26",2009-01-26,2.79827817471397,4.3131588832519,4.92094875396789
"27",2009-01-27,2.79052564840591,4.30851735372281,4.91478736476075
"28",2009-01-28,2.78963890747726,4.30384688542974,4.91846930495765
"29",2009-01-29,2.79098702014286,4.30432633140613,4.92044815864905
"30",2009-01-30,2.78683294334754,4.30098610392431,4.91705816264145
"31",2009-01-31,2.78542408182787,4.30353372600727,4.91260450101286
"32",2009-02-01,2.77281215125752,4.30203518936934,4.90157623432138
"33",2009-02-02,2.78100931890842,4.30552645231503,4.90674743288576
"34",2009-02-03,2.78676501628955,4.31400740689949,4.90702305176162
"35",2009-02-04,2.78365733824637,4.31479948102118,4.90404664976644
"36",2009-02-05,2.78819638627803,4.30828969861919,4.91218885006814
"37",2009-02-06,2.78603230535597,4.31263659075627,4.90720231337088
"38",2009-02-07,2.78083340147831,4.3041430747299,4.90734355260186
"39",2009-02-08,2.78348050384317,4.30709306500103,4.9081479935909
"40",2009-02-09,2.77626821537151,4.31124357839108,4.9002843504485
"41",2009-02-10,2.76950320893969,4.31098800586169,4.89588636826058
"42",2009-02-11,2.76304392514944,4.30742317082287,4.89313491447929
"43",2009-02-12,2.74001896283693,4.30120462977463,4.88224689738834
"44",2009-02-13,2.74341164037803,4.3122905153955,4.88148526263651
"45",2009-02-14,2.76269755030672,4.30980798705241,4.89218115343155
"46",2009-02-15,2.75269555679432,4.31103525710062,4.88637182235729
"47",2009-02-16,2.74360495744427,4.31630696689467,4.88054634890123
"48",2009-02-17,2.74219403618014,4.31082946835575,4.88126090321233
"49",2009-02-18,2.74750912210848,4.31120388567626,4.88372415653141
"50",2009-02-19,2.74672276302532,4.31018274594198,4.88359347185603
"51",2009-02-20,2.73822578774647,4.31029869782068,4.879534034871
"52",2009-02-21,2.73585912094002,4.3057952010023,4.87936094075385
"53",2009-02-22,2.73690781032246,4.30990336667585,4.87901528875175
"54",2009-02-23,2.7459137808051,4.30822185555994,4.88366635503091
"55",2009-02-24,2.7380756013308,4.30276908097503,4.88099280605874
"56",2009-02-25,2.75187622519976,4.31103117074692,4.8859532333803
"57",2009-02-26,2.74128157516196,4.31478175658504,4.87988129119718
"58",2009-02-27,2.72174908934402,4.30594397633832,4.87304330147892
"59",2009-02-28,2.71613337976342,4.31782959507644,4.86869795797577
"60",2009-03-01,2.71468371805077,4.3110256355569,4.86933996526431
"61",2009-03-02,2.73206101173636,4.30914744596586,4.87698519595113
"62",2009-03-03,2.71915703964288,4.30831353186967,4.87158676691784
"63",2009-03-04,2.72728207744465,4.30537389663436,4.87554196798044
"64",2009-03-05,2.72394114299106,4.30487845872195,4.87415312730173
"65",2009-03-06,2.718349288883,4.29777497542669,4.87266293025547
"66",2009-03-07,2.71220992297509,4.29839292021328,4.86991228996908
"67",2009-03-08,2.72621254429677,4.29434878091649,4.87672232398866
"68",2009-03-09,2.72273631315248,4.28858015320098,4.87587978606076
"69",2009-03-10,2.7304872590466,4.28287204195888,4.88080330747784
"70",2009-03-11,2.72727947541052,4.28012778419619,4.87964560773868
"71",2009-03-12,2.73501857147292,4.27801090173244,4.88451180293573
"72",2009-03-13,2.74777527141525,4.27413843780996,4.89439167047474
